"","contrast","estimate","SE","df","t.ratio","p.value"
"1","DD Dry - DW Dry",0.402705230696153,1.16097316775037,807.46943030885,0.346868680416172,0.728780354265857
"2","DD Dry - WD Dry",2.72857968767267,1.19251392676032,807.760225436426,2.28809041675962,0.0223897923033981
"3","DD Dry - WW Dry",0.659539763734723,1.17562966244889,808.529077238456,0.561009801641845,0.574946294608233
"4","DD Dry - DD Wet",-5.07019642150571,1.18077238816525,807.372365917104,-4.29396594324507,1.9685390156508e-05
"5","DD Dry - DW Wet",-4.56128076891317,1.16168724094396,807.617225880438,-3.92642753415007,9.35756292389958e-05
"6","DD Dry - WD Wet",-1.66763221205102,1.193197169811,807.722184938702,-1.39761663390064,0.162611952378154
"7","DD Dry - WW Wet",-4.15108212348076,1.18040409427538,808.573351068021,-3.51666191570523,0.000461357004396492
"8","DW Dry - WD Dry",2.32587445697652,1.17116869015197,807.914267484728,1.9859431664577,0.0473772109474764
"9","DW Dry - WW Dry",0.256834533038569,1.1538702998876,808.697178558558,0.222585270687346,0.823914504648583
"10","DW Dry - DD Wet",-5.47290165220187,1.1595231488082,807.531789544282,-4.71995893986859,2.78004430804474e-06
"11","DW Dry - DW Wet",-4.96398599960933,1.13715625668093,807.071260097435,-4.36526288313088,1.43472157270232e-05
"12","DW Dry - WD Wet",-2.07033744274718,1.17157629676874,807.845805485183,-1.76713838309743,0.0775825700032822
"13","DW Dry - WW Wet",-4.55378735417692,1.15813360790152,808.64086033576,-3.93200518757774,9.14609111862474e-05
"14","WD Dry - WW Dry",-2.06903992393795,1.18237551528388,807.899169074984,-1.74990085399493,0.0805150582635432
"15","WD Dry - DD Wet",-7.79877610917839,1.19163109925294,807.87966527815,-6.54462284012862,1.0589078424508e-10
"16","WD Dry - DW Wet",-7.28986045658584,1.17189310475784,808.046694929805,-6.22058481869148,7.94165594592799e-10
"17","WD Dry - WD Wet",-4.39621189972369,1.1991184405452,807.136780742336,-3.66620322987018,0.000262294268777657
"18","WD Dry - WW Wet",-6.87966181115343,1.18721173227279,807.936322786175,-5.7948061193626,9.80055842026171e-09
"19","WW Dry - DD Wet",-5.72973618524044,1.17562514112452,808.87787676963,-4.87377820089809,1.31771284187953e-06
"20","WW Dry - DW Wet",-5.22082053264789,1.15469712091403,808.88333395789,-4.52137659139153,7.06209331162853e-06
"21","WW Dry - WD Wet",-2.32717197578574,1.18315942809972,807.904004103563,-1.96691326672977,0.0495350707111686
"22","WW Dry - WW Wet",-4.81062188721549,1.16460571320002,807.079060288105,-4.13068717823579,3.99391468902011e-05
"23","DD Wet - DW Wet",0.508915652592543,1.15942815949145,807.49314858649,0.438936771050793,0.660824772976953
"24","DD Wet - WD Wet",3.40256420945469,1.19201299846588,807.817513811562,2.85446904843637,0.00442124541165574
"25","DD Wet - WW Wet",0.919114298024952,1.17991972907137,808.853826198662,0.77896341198424,0.436229098747557
"26","DW Wet - WD Wet",2.89364855686215,1.17189200403721,807.907755861628,2.46921093999569,0.0137469241078647
"27","DW Wet - WW Wet",0.410198645432409,1.15859021694327,808.767226514274,0.354049809357655,0.723393836782136
"28","WD Wet - WW Wet",-2.48344991142974,1.18761504456424,807.901413288989,-2.09112365391174,0.0368288290679741
